Case Number: 1    Time used = 0.064s    Combination: (bad_hashing,    linear_probe)
Case Number: 1    Time used = 0.031s    Combination: (bad_hashing,    bidirectional_quadratic_probe)
Case Number: 1    Time used = 0.047s    Combination: (bad_hashing,    overflow_area)
Case Number: 1    Time used = 0.053s    Combination: (good_hashing,    linear_probe)
Case Number: 1    Time used = 0.040s    Combination: (good_hashing,    bidirectional_quadratic_probe)
Case Number: 1    Time used = 0.032s    Combination: (good_hashing,    overflow_area)
Case Number: 2    Time used = 1.716s    Combination: (bad_hashing,    linear_probe)
Case Number: 2    Time used = 0.121s    Combination: (bad_hashing,    bidirectional_quadratic_probe)
Case Number: 2    Time used = 1.188s    Combination: (bad_hashing,    overflow_area)
Case Number: 2    Time used = 0.099s    Combination: (good_hashing,    linear_probe)
Case Number: 2    Time used = 0.104s    Combination: (good_hashing,    bidirectional_quadratic_probe)
Case Number: 2    Time used = 0.110s    Combination: (good_hashing,    overflow_area)
Case Number: 3    Time used >= 10s    Combination: (bad_hashing,    linear_probe)
Case Number: 3    Time used >= 10s    Combination: (bad_hashing,    bidirectional_quadratic_probe)
Case Number: 3    Time used >= 10s    Combination: (bad_hashing,    overflow_area)
Case Number: 3    Time used = 1.239s    Combination: (good_hashing,    linear_probe)
Case Number: 3    Time used = 1.104s    Combination: (good_hashing,    bidirectional_quadratic_probe)
Case Number: 3    Time used >= 10s    Combination: (good_hashing,    overflow_area)
